x,y
5.1185007,74.94930739546604
5.2710586,76.70015426857583
5.974635,82.45866996307456
6.269291,80.15603961056745
6.5178566,82.40607817764625
6.676714,81.57842059867687
7.815073,104.3090724936049
8.780293,142.51840646956344
9.0520115,121.12751967848297
9.6785555,124.96946838657722
9.974926,154.77728973824122
12.31206,169.93762971091272
12.441148,158.2145196798224
12.9221115,186.9730237217458
13.276566,174.95031493226855
13.598551,167.2994322396048
13.725675,169.92131115931562
16.259514,195.52450922564654
18.176773,224.22590458321207
19.687029,230.90980443928174
